"Ref","Qty","Value","Footprint","Description","MPN"
"C1, C2, C3, C4, C5, C6, ","6","2.7u","Capacitor_THT:C_Rect_L31.5mm_W20.0mm_P27.50mm_MKS4","Unpolarized capacitor","ECQ-UAAF275K"
"C7, C8, C10, C11, ","4","0.47u","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor","08051C474K4Z2A"
"C9, C12, ","2","0.1u","Capacitor_THT:C_Rect_L26.5mm_W10.5mm_P22.50mm_MKS4","Unpolarized capacitor","BFC233860104"
"D1, D3, ","2","D_TVS","Diode_SMD:D_SOD-323","Bidirectional transient-voltage-suppression diode","STS321050B100"
"D2, D4, ","2","BAV23S","Package_TO_SOT_SMD:SOT-23","Dual diode, anode/cathode/center","BAV23S,215"
"GD1, GD2, ","2","2045-09-BLF","wbraun_smd:GDT_Bourns_2045","Gas Discharge Tube with 2 Pins","2045-09-BLF"
"H1, H2, H3, H4, ","4","MountingHole_Pad","wbraun_smd:M3-tight-fit-socket-head","Mounting Hole with connection",""
"J1, J2, ","2","Conn_Coaxial","Connector_Coaxial:SMA_Amphenol_132203-12_Horizontal","coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, ...)","619540-1"
"J3, J4, J5, J6, J7, J8, J9, ","7","62409-1","wbraun_smd:62409-1","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)","62409-1"
"L1, L7, ","2","1m","wbraun_smd:L_BOURNS_PM1812","Inductor","PM1812-102J-RC"
"L2, L3, L4, L5, L6, L8, L9, L10, L11, L12, ","10","10u","wbraun_smd:L_WURTH_WE-HCC-1090","Inductor symbol for simulation only","7443331000"
"R1, R2, ","2","5","Resistor_THT:R_Axial_Power_L20.0mm_W6.4mm_P25.40mm","Resistor","WNE5R0FET"
"R3, ","1","50","Resistor_SMD:R_0805_2012Metric","Resistor","RNCP0805FTD49R9"
"R4, R7, ","2","0","Resistor_SMD:R_0805_2012Metric","Resistor","RC0805JR-070RL"
"R5, R6, R8, ","3","DNP","Resistor_SMD:R_0805_2012Metric","Resistor",""
"R9, R26, ","2","620","Resistor_SMD:R_0805_2012Metric","Resistor","RCS0805620RFKEA"
"R10, R27, ","2","560","Resistor_SMD:R_0805_2012Metric","Resistor","RCS0805560RFKEA"
"R11, R28, ","2","10","Resistor_SMD:R_0805_2012Metric","Resistor","RCS080510R0FKEA"
"R12, R29, ","2","7.5","Resistor_SMD:R_0805_2012Metric","Resistor","RCS08057R50FKEA"
"R13, R14, R20, R30, R31, R37, ","6","430","Resistor_SMD:R_0805_2012Metric","Resistor","ESR10EZPF4300"
"R15, R32, ","2","220","Resistor_SMD:R_0805_2012Metric","Resistor","RCS0805220RFKEA"
"R16, R17, R33, R34, ","4","15","Resistor_SMD:R_0805_2012Metric","Resistor","RCS080515R0FKEA"
"R18, R35, ","2","127","Resistor_SMD:R_0805_2012Metric","Resistor","RK73H2ATTD1270F"
"R19, R36, ","2","12","Resistor_SMD:R_0805_2012Metric","Resistor","ERJ-6ENF12R0V"
"R21, R22, R23, R24, R25, R38, R39, R40, R41, R42, ","10","DNP","Resistor_SMD:R_1206_3216Metric","Resistor",""
"TR1, ","1","ADT2-71T+","RF_Mini-Circuits:Mini-Circuits_CD637_H5.23mm","0.40-500MHz 1:2 RF Transformer, Unbalanced to Balanced Center Tap, CD542","ADT2-71T+"
